"FID","MID","VideoID","DelayLeaveDish","TotalWatch","NbFAttacks","NbIntendedFAttacks","NBCourt","TotalCourtDur","CopDur","NaiveNBCourt","NaiveTotalCourtDur","TrialDate","CopulateYN","CopDuringVideo","CannibalizeYN","EatDuringVideo","DelayFirstFAttack","DelayConsum","DelayFirstCourt","DelayNaiveFirstCourt","MTrt","FTrt"
18514,18421,165,44,2850,1,1,56,1700,1316,20,735,2018-08-06,1,1,1,0,1330,NA,438,438,"Unmanipulated","RedAverse"
18515,18465,139,1236,4389,0,2,43,2394,1661,43,2394,2018-08-01,1,1,1,0,NA,NA,542,542,"Unmanipulated","RedPreference"
18516,18555,164,85,5279,0,4,81,2375,1386,81,2375,2018-08-06,1,1,1,0,NA,NA,219,219,"Unmanipulated","RedAverse"
18517,18464,117,44,6498,2,4,59,2888,864,19,442,2018-07-29,1,1,1,1,953,7363,163,163,"RedGrey","RedPreference"
18519,18370,174,451,2180,3,5,23,1879,1405,7,1183,2018-07-29,1,1,0,0,1216,NA,71,71,"AllGrey","RedPreference"
18523,18391,228,246,7238,5,27,53,3801,0,28,2026,2018-07-15,0,0,0,0,3905,NA,564,564,"AllGrey","RedPreference"
18524,18317,82,129,1359,1,1,10,1087,358,3,267,2018-07-27,1,1,0,0,459,NA,163,163,"AllGrey","RedAverse"
18525,18426,275,544,7243,1,3,92,3713,0,4,949,2018-07-26,0,0,0,0,1452,NA,485,485,"AllRed","RedPreference"
18526,18408,148,33,2206,0,4,40,764,1230,40,764,2018-07-15,1,1,1,0,NA,NA,548,548,"AllGrey","RedAverse"
18527,18484,192,296,5655,1,14,37,3043,1308,15,1351,2018-07-16,1,1,0,0,2405,NA,307,307,"AllRed","RedPreference"
18528,18458,233,16,7255,1,4,81,1362,0,17,464,2018-07-27,1,0,0,0,1056,NA,244,244,"AllRed","RedAverse"
18529,18428,80,4,1452,1,2,4,1378,1313,1,663,2018-07-17,1,1,0,0,703,NA,40,40,"AllGrey","RedPreference"
18532,18437,58,174,2721,0,1,18,1648,450,18,1648,2018-07-18,1,1,0,0,NA,NA,116,116,"RedGrey","RedAverse"
18533,18499,239,111,702,0,0,4,168,2413,4,168,2018-07-17,1,1,1,0,NA,NA,470,470,"AllRed","RedPreference"
18534,18278,127,219,7171,0,0,59,2006,0,59,2006,2018-07-17,1,0,0,0,NA,NA,1934,1934,"RedGrey","RedAverse"
18535,18266,277,514,7193,3,4,122,3569,0,2,872,2018-07-17,0,0,0,0,1274,NA,396,396,"RedGrey","RedPreference"
18538,18483,240,77,4276,1,3,94,3349,66,43,1573,2018-07-17,1,1,0,0,1980,NA,169,169,"RedGrey","RedAverse"
18539,18572,218,1788,7215,1,1,48,3914,0,46,3817,2018-10-01,0,0,0,0,7028,NA,2165,2165,"RedGrey","RedPreference"
18540,18471,267,132,7248,0,1,165,2281,0,165,2281,2018-08-26,0,0,0,0,NA,NA,402,402,"AllGrey","RedAverse"
18541,18439,219,282,7239,0,0,48,1991,0,48,1991,2018-09-30,0,0,0,0,NA,NA,110,110,"AllRed","RedPreference"
18542,18569,91,274,1712,2,3,15,808,0,8,664,2018-08-17,1,1,1,1,1185,1712,319,319,"Unmanipulated","RedAverse"
18543,18578,185,189,2861,0,0,7,1011,1813,7,1011,2018-10-05,1,1,0,0,NA,NA,1726,1726,"AllGrey","RedPreference"
18544,18498,163,2443,5761,1,6,79,2648,1369,35,959,2018-08-06,1,1,0,0,2831,NA,1136,1136,"Unmanipulated","RedAverse"
18545,18447,173,114,1454,0,0,13,720,1430,13,720,2018-08-01,1,1,0,0,NA,NA,250,250,"Unmanipulated","RedPreference"
18546,18256,160,598,3789,3,6,18,3143,1502,8,1450,2018-07-21,1,1,0,0,1899,NA,51,51,"AllRed","RedPreference"
18547,18423,235,119,7192,9,16,104,2424,0,NA,NA,2018-07-22,0,0,1,0,315,NA,430,NA,"RedGrey","RedAverse"
18548,18521,65,317,1081,1,2,14,334,0,14,334,2018-07-23,0,0,1,1,1081,1081,530,530,"AllGrey","RedPreference"
18549,18467,186,53,2735,1,3,18,2287,1499,6,140,2018-08-14,1,1,1,0,441,NA,96,96,"Unmanipulated","RedAverse"
18550,18362,126,175,1757,0,0,3,1321,962,3,1321,2018-07-23,1,1,0,0,NA,NA,431,431,"AllRed","RedPreference"
18551,18432,103,22,5901,0,0,6,789,1697,6,789,2018-07-24,1,1,1,0,NA,NA,651,651,"RedGrey","RedAverse"
18552,18571,226,1072,7182,0,1,31,868,0,31,868,2018-08-10,0,0,0,0,NA,NA,1155,1155,"RedGrey","RedPreference"
18553,18448,150,63,6840,2,5,60,2437,824,1,4,2018-08-26,1,1,1,0,192,NA,192,192,"RedGrey","RedAverse"
18554,18440,176,112,1876,0,0,4,711,1307,4,711,2018-08-07,1,1,0,0,NA,NA,1117,1117,"Unmanipulated","RedPreference"
18556,18509,56,86,3079,2,2,35,1408,1520,33,1073,2018-07-25,1,1,0,0,2725,NA,697,697,"AllRed","RedAverse"
18557,18583,220,199,7242,0,0,18,744,0,18,744,2018-09-22,0,0,0,0,NA,NA,588,588,"AllGrey","RedPreference"
18558,18580,140,196,2450,0,0,12,1719,3483,12,1719,2018-08-30,1,1,0,0,NA,NA,255,255,"RedGrey","RedAverse"
18559,18492,269,131,7257,1,2,47,1495,0,16,1047,2018-07-26,0,0,0,0,1977,NA,473,473,"RedGrey","RedPreference"
18560,18582,169,145,1859,2,3,8,1399,2149,6,351,2018-09-20,1,1,1,0,806,NA,288,288,"AllRed","RedAverse"
18561,18451,221,0,7215,4,9,43,4666,0,2,565,2018-08-17,1,0,0,0,771,NA,147,147,"Unmanipulated","RedPreference"
18563,18573,232,66,6963,8,20,129,4403,0,1,9,2018-07-28,0,0,0,0,306,NA,204,204,"AllRed","RedPreference"
18564,18237,227,201,7274,0,3,11,763,0,11,763,2018-07-27,0,0,0,0,NA,NA,1732,1732,"RedGrey","RedAverse"
18565,18584,217,187,7202,0,0,30,4665,0,30,4665,2018-10-15,0,0,0,0,NA,NA,786,786,"AllRed","RedPreference"
18567,18373,191,46,2128,1,1,7,1256,1226,3,772,2018-08-15,1,1,0,0,1578,NA,714,714,"Unmanipulated","RedPreference"
18568,18466,224,165,625,0,0,5,460,209,5,460,2018-08-03,1,1,0,0,NA,NA,99,99,"AllGrey","RedAverse"
18575,18485,250,531,7284,0,0,35,573,0,35,573,2018-09-18,0,0,0,0,NA,NA,1251,1251,"RedGrey","RedPreference"
18576,18494,262,352,7218,1,3,58,1306,0,50,1137,2018-09-07,0,0,0,0,5906,NA,871,871,"Unmanipulated","RedAverse"
18577,18424,223,196,7237,0,2,107,4263,0,107,4263,2018-08-04,0,0,0,0,NA,NA,694,694,"AllGrey","RedPreference"
