"FID","MID","VideoID","DelayLeaveDish","TotalWatch","NbFAttacks","NbIntendedFAttacks","NBCourt","TotalCourtDur","CopDur","NaiveNBCourt","NaiveTotalCourtDur","TrialDate","CopulateYN","CopDuringVideo","CannibalizeYN","EatDuringVideo","DelayFirstFAttack","DelayConsum","DelayFirstCourt","DelayNaiveFirstCourt","MTrt","FTrt"
18111,18183,266,333,2690,0,2,44,1599,1408,44,1599,2018-06-01,1,1,0,0,NA,NA,44,44,"AllRed","RedAverse"
18112,18312,134,36,4470,4,5,37,1534,928,2,30,2018-06-19,1,1,0,0,1639,NA,1570,1570,"AllRed","RedPreference"
18113,18192,35,47,1243,1,1,18,812,1731,NA,NA,2018-05-27,1,1,0,0,54,NA,108,NA,"RedGrey","RedAverse"
18114,18174,11,128,1201,0,0,1,382,2162,1,382,2018-05-25,1,1,1,0,NA,NA,819,819,"AllGrey","RedPreference"
18116,18367,244,26,7189,0,3,119,2536,0,119,2536,2018-07-04,0,0,0,0,NA,NA,247,247,"RedGrey","RedPreference"
18117,18242,107,160,1463,1,3,26,983,1170,11,265,2018-06-17,1,1,1,0,567,NA,183,183,"RedGrey","RedPreference"
18118,18349,9,118,124,1,1,1,18,0,1,18,2018-06-24,0,0,1,1,124,124,106,106,"RedGrey","RedAverse"
18119,18323,121,73,1416,3,6,10,880,1214,NA,NA,2018-06-23,1,1,1,1,82,6032,87,NA,"AllRed","RedAverse"
18121,18177,55,585,1083,0,0,1,470,1322,1,470,2018-06-06,1,1,0,0,NA,NA,613,613,"AllRed","RedPreference"
18122,18166,66,32,444,0,0,3,369,1825,3,369,2018-06-12,1,1,0,0,NA,NA,66,66,"RedGrey","RedAverse"
18123,18300,106,68,922,0,0,22,608,1404,22,608,2018-06-14,1,1,0,0,NA,NA,128,128,"AllRed","RedAverse"
18124,18225,69,3,733,0,0,1,729,1347,1,729,2018-06-14,1,1,0,0,NA,NA,4,4,"AllRed","RedPreference"
18125,18168,143,57,5957,0,3,100,2615,2060,100,2615,2018-06-10,1,1,0,0,NA,NA,489,489,"AllGrey","RedPreference"
18126,18213,179,38,4318,1,1,42,2601,1700,12,1109,2018-05-30,1,1,0,0,1971,NA,282,282,"AllGrey","RedAverse"
18127,18163,23,90,6236,1,7,174,3699,1255,118,2037,2018-05-25,1,1,0,0,3947,NA,324,324,"AllRed","RedAverse"
18128,18203,45,181,972,2,3,7,619,1842,5,383,2018-06-08,1,1,0,0,635,NA,215,215,"AllGrey","RedPreference"
18129,18325,257,24,7203,1,4,85,1120,0,35,455,2018-06-10,0,0,1,0,2703,NA,147,147,"AllGrey","RedAverse"
18130,18195,252,63,7189,7,9,71,1024,0,25,656,2018-06-04,0,0,0,0,2274,NA,392,392,"AllRed","RedPreference"
18131,18189,59,221,1598,0,0,15,654,1241,15,654,2018-05-28,1,1,1,0,NA,NA,490,490,"AllRed","RedPreference"
18132,18251,67,476,673,0,0,4,210,1336,4,210,2018-06-03,1,1,0,0,NA,NA,312,312,"RedGrey","RedAverse"
18133,18347,48,125,796,1,1,14,561,1467,14,561,2018-06-24,1,1,0,0,6494,NA,142,142,"AllRed","RedPreference"
18134,18365,197,629,7227,5,9,44,3449,0,7,704,2018-07-13,0,0,0,0,1607,NA,397,397,"RedGrey","RedAverse"
18135,18283,141,501,7219,3,4,34,1650,0,6,131,2018-06-06,0,0,0,0,2036,NA,258,258,"RedGrey","RedAverse"
18136,18348,98,290,1705,2,2,4,561,171,4,561,2018-06-24,1,1,1,1,1242,6540,1098,1098,"AllGrey","RedPreference"
18137,18295,198,402,7208,2,8,33,4962,0,8,1664,2018-06-18,0,0,0,0,2536,NA,602,602,"AllRed","RedAverse"
18138,18191,260,47,7189,0,0,90,2067,0,90,2067,2018-05-31,0,0,0,0,NA,NA,586,586,"AllRed","RedPreference"
18142,18296,132,54,7236,5,11,124,4096,0,9,281,2018-06-18,0,0,0,0,470,NA,64,64,"RedGrey","RedAverse"
18143,18165,199,37,7230,1,1,48,2028,0,10,714,2018-06-17,0,0,0,0,2079,NA,145,145,"AllRed","RedPreference"
18144,18243,129,108,441,3,3,9,125,0,NA,NA,2018-06-15,0,0,1,1,17,441,141,NA,"AllGrey","RedAverse"
18145,18314,253,1310,7265,2,3,77,1858,0,55,1141,2018-06-12,0,0,0,0,4925,NA,938,938,"RedGrey","RedPreference"
18146,18427,180,2,2991,0,0,9,1043,1509,9,1043,2018-07-13,1,1,1,0,NA,NA,117,117,"AllRed","RedAverse"
18147,18194,153,176,1003,0,0,5,288,1420,5,288,2018-06-16,1,1,0,0,NA,NA,624,624,"RedGrey","RedPreference"
18148,18221,92,NA,402,1,4,NA,NA,NA,NA,NA,2018-07-17,0,0,1,1,402,402,NA,NA,"AllRed","RedAverse"
18150,18319,138,54,1899,2,2,22,1083,1725,12,666,2018-06-19,1,1,0,0,1231,NA,483,483,"RedGrey","RedAverse"
